Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
Steve Cropper,Steve Cropper,,18,26,8,0.194866,0.204562,296867.957315,0.003768,0.003768,18,0.000206,0,0.013072,2,0.104763
The Alpha Band,The Alpha Band,,4,7,8,0.189443,0.197582,26831.443351,0.002945,0.002945,2,0.000052,0,0,0,0.061205
Super Ratones,Super Ratones,,3,4,8,0.175969,0.182226,48979.799325,0.000896,0.000895,18,0.000051,0,0,0,0.020158
Rory Storm and the Hurricanes,Rory Storm and the Hurricanes,,1,1,8,0.175723,0.181904,0,0.000887,0.000887,18,0.000016,0,0,0,0.0182
Steve Lukather,Steve Lukather,,4,4,8,0.188158,0.19613,14660.818247,0.002748,0.002748,18,0.000043,0,0,0,0.046465
Ringo Starr & His All-Starr Band,Ringo Starr & His All-Starr Band,,27,27,7,0.216119,0.229044,977457.390567,0.013527,0.013527,18,0.000257,0,0.025641,9,0.281467
Kathy McCord,Kathy McCord,,4,6,8,0.186668,0.194589,35848.089817,0.00222,0.00222,18,0.000045,0,0,0,0.047441
Ronnie Schneider,Ronnie Schneider,,6,9,8,0.193676,0.201639,61893.6021,0.003347,0.003347,18,0.00007,0,0,0,0.067404
Sam Cooke,Sam Cooke,,14,25,8,0.187193,0.195628,197955.242667,0.00433,0.00433,5,0.000179,0,0.010989,1,0.060488
Allan Williams,Allan Williams,,1,2,8,0.175378,0.181482,0,0.000998,0.000998,18,0.000017,0,0,0,0.022135
Ghost of the Robot,Ghost of the Robot,,3,4,8,0.175385,0.181551,38831,0.001007,0.001007,18,0.000058,0,0,0,0.023891
James Marsters,James Marsters,,1,1,9,0.149216,0.152838,0,0.00007,0.00007,18,0.000024,0,0,0,0.002392
Kiwi Time,Kiwi Time,,9,12,8,0.203597,0.212722,510009.787866,0.003101,0.003101,12,0.000104,0,0,0,0.097184
Nirvana (band),Nirvana (band),,38,80,8,0.19946,0.211562,2458274.778658,0.003845,0.003845,11,0.000439,0,0.045519,32,0.239236
Red Hot Chili Peppers,Red Hot Chili Peppers,,54,131,8,0.223097,0.236765,3167624.132138,0.013374,0.013374,12,0.000554,0,0.036338,52,0.481272
OneRepublic,OneRepublic,,3,3,9,0.185358,0.193152,120849.563926,0.003399,0.003399,12,0.000038,0,0,0,0.05632
Thirty Seconds to Mars,Thirty Seconds to Mars,,5,6,8,0.183219,0.190326,20251.745869,0.000963,0.000963,10,0.000054,0,0,0,0.033101
Freddie Gorman,Freddie Gorman,,10,15,8,0.192305,0.201448,104612.010881,0.006487,0.006487,5,0.000095,0,0.155556,7,0.109154
Stevie Wonder,Stevie Wonder,,63,123,8,0.216901,0.231699,1925624.120781,0.041475,0.041475,5,0.000634,0,0.006656,13,0.549701
Marvin Gaye,Marvin Gaye,,36,79,8,0.195065,0.206945,855483.98737,0.016926,0.016926,5,0.000368,0,0.038095,24,0.25788
The Originals (band),The Originals (band),,11,19,9,0.184486,0.193301,92256.588607,0.006269,0.006269,5,0.000109,0,0.254545,14,0.102738
The Carpenters,The Carpenters,,4,4,9,0.178467,0.185509,3316.928402,0.002263,0.002263,5,0.000041,0,0,0,0.033565
Jimmy Ruffin,Jimmy Ruffin,,7,8,8,0.181896,0.189141,45612.92326,0.00259,0.00259,5,0.000071,0,0.238095,5,0.051478
The Marvelettes,The Marvelettes,,6,6,9,0.165902,0.171875,9076.602413,0.002529,0.002529,5,0.000062,0,0.066667,1,0.040509
C. P. Spencer,C. P. Spencer,,11,16,8,0.192337,0.201539,112688.355253,0.006606,0.006606,5,0.000105,0,0.127273,7,0.11218
Edwin Starr,Edwin Starr,,6,6,9,0.172002,0.17806,13876.694422,0.001988,0.001988,5,0.000062,0,0.2,3,0.039751
The Spinners (U.S. band),The Spinners (U.S. band),,5,5,9,0.174958,0.181678,11099.847104,0.001694,0.001694,18,0.000061,0,0,0,0.031344
David Ruffin,David Ruffin,,7,18,9,0.171519,0.178231,5971.331357,0.003139,0.003139,5,0.000068,0,0.380952,8,0.054761
Billy J. Kramer,Billy J. Kramer,,5,9,8,0.183127,0.190378,153920.801955,0.001677,0.001677,18,0.000071,0,0.2,2,0.042483
Liberty DeVitto,Liberty DeVitto,,16,24,8,0.206296,0.216534,388161.641228,0.007609,0.007609,1,0.000191,0,0.008333,1,0.151072
The Dakotas (band),The Dakotas (band),,2,2,9,0.154794,0.15899,0,0.000126,0.000126,18,0.000036,0,1,1,0.005859
Eddie Mooney,Eddie Mooney,,8,9,9,0.154802,0.159153,101681.920766,0.000131,0.000131,18,0.000153,0,0.035714,1,0.010585
Billy Preston,Billy Preston,,23,47,8,0.213658,0.225662,1024325.257297,0.018416,0.018416,18,0.00025,0,0.019763,5,0.269361
Ray Charles,Ray Charles,,39,75,8,0.21214,0.226926,1735885.616818,0.062402,0.062402,18,0.000399,0,0.002699,2,0.379893
Little Richard,Little Richard,,17,38,8,0.187276,0.196316,258267.33187,0.003338,0.003338,2,0.000204,0,0.022059,3,0.07426
Eric Clapton,Eric Clapton,,77,155,7,0.237377,0.25325,4733674.886406,0.053648,0.053648,18,0.000737,0,0.01162,34,0.901553
Five Stairsteps,Five Stairsteps,,5,7,8,0.18515,0.192635,41403.022443,0.00315,0.00315,18,0.000063,0,0.1,1,0.050785
"Moses Tyson, Jr.","Moses Tyson, Jr.",,3,5,9,0.177243,0.183562,29883.275902,0.001354,0.001354,5,0.000048,0,0,0,0.021528
Gentry McCreary,Gentry McCreary,,25,30,8,0.18917,0.198402,396081.728495,0.004013,0.004013,18,0.000343,0,0.01,3,0.096697
Qmillion,Qmillion,,13,19,8,0.191978,0.202221,190794.203312,0.004327,0.004327,5,0.000156,0,0.012821,1,0.089024
Willie Norwood,Willie Norwood,,3,4,9,0.182147,0.189541,20174.223029,0.00199,0.00199,18,0.000035,0,0,0,0.031922
Peter Schimke,Peter Schimke,,7,10,9,0.180367,0.187267,84352.60901,0.001852,0.001852,18,0.000099,0,0,0,0.034213
Rocky Dzidzornu,Rocky Dzidzornu,,11,20,8,0.207163,0.217878,264314.166075,0.009442,0.009442,1,0.000114,0,0.054545,3,0.161808
Ozone (American band),Ozone (American band),,3,5,9,0.179717,0.186692,18858.729324,0.001679,0.001679,5,0.000038,0,0.333333,1,0.028133
Johnny Echols,Johnny Echols,,4,5,8,0.176674,0.182973,44264.458872,0.001336,0.001336,18,0.000066,0,0,0,0.022075
The Brothers Johnson,The Brothers Johnson,,4,10,8,0.191847,0.201711,22229.783986,0.013077,0.013077,5,0.000044,0,0,0,0.07961
Syreeta Wright,Syreeta Wright,,5,9,8,0.190348,0.199213,47099.427218,0.005061,0.005061,13,0.000058,0,0,0,0.069291
Syreeta,Syreeta,,3,3,9,0.176854,0.183292,5695.810042,0.001471,0.001471,5,0.000038,0,0.333333,1,0.02372
King Curtis,King Curtis,,11,20,8,0.194215,0.204156,186125.36239,0.009095,0.009095,18,0.000134,0,0.018182,1,0.093086
Sly & the Family Stone,Sly & the Family Stone,,2,2,8,0.178324,0.184902,679.648005,0.001536,0.001536,18,0.000026,0,0,0,0.024108
Patty Brard,Patty Brard,,7,10,9,0.176291,0.182668,107124.551533,0.001338,0.001338,18,0.000134,0,0,0,0.024549
The Idle Race,The Idle Race,,6,13,8,0.17675,0.183093,10411.815215,0.001005,0.001005,18,0.000064,0,0.133333,2,0.029442
The Move,The Move,,6,6,8,0.178477,0.18474,9502.177798,0.001413,0.001412,18,0.000065,0,0.133333,2,0.034038
Tom Petty and the Heartbreakers,Tom Petty and the Heartbreakers,,17,35,8,0.210104,0.219384,314811.371667,0.006512,0.006512,18,0.000177,0,0.110294,15,0.149788
Mike Stevens (saxophonist),Mike Stevens (saxophonist),,5,6,8,0.178792,0.185013,11481.18518,0.000913,0.000913,18,0.000056,0,0,0,0.022325
Richard Tandy,Richard Tandy,,2,3,8,0.170342,0.175544,0,0.000586,0.000586,18,0.000025,0,1,1,0.014308
Robert Fitzpatrick,Robert Fitzpatrick,,8,14,8,0.203565,0.213538,150627.586054,0.007871,0.007871,2,0.000081,0,0,0,0.13154
Taj Mahal (musician),Taj Mahal (musician),,13,23,8,0.189985,0.19892,127932.653223,0.003376,0.003376,2,0.000157,0,0,0,0.067874
Billy Fury,Billy Fury,,14,26,8,0.184836,0.192436,351377.79065,0.001854,0.001854,19,0.000194,0,0.065934,6,0.05973
The John Barry Seven,The John Barry Seven,,6,8,9,0.162038,0.166942,54242.398395,0.000249,0.000249,19,0.000093,0,0.066667,1,0.013972
The Tornados,The Tornados,,7,10,9,0.156017,0.160452,116481,0.000134,0.000134,19,0.000155,0,0,0,0.01109
Georgie Fame,Georgie Fame,,9,16,8,0.18003,0.187848,188051.074447,0.001139,0.001139,19,0.000113,0,0,0,0.043921
The Puppets,The Puppets,,2,2,9,0.156046,0.160335,0,0.000148,0.000148,19,0.000032,0,1,1,0.008046
Dickie Pride,Dickie Pride,,1,1,9,0.156002,0.160246,0,0.00013,0.00013,19,0.00002,0,0,0,0.005757
Johnny Gentle,Johnny Gentle,,1,1,9,0.156002,0.160246,0,0.00013,0.00013,19,0.00002,0,0,0,0.005757
Joe Brown (singer),Joe Brown (singer),,1,1,9,0.156002,0.160246,0,0.00013,0.00013,19,0.00002,0,0,0,0.005757
Marty Wilde,Marty Wilde,,3,3,9,0.156049,0.160369,0,0.000159,0.000159,19,0.000045,0,1,3,0.009784
Vince Eager,Vince Eager,,6,12,9,0.157396,0.161876,1362.909697,0.000257,0.000257,19,0.000085,0,0.333333,5,0.0158
The Searchers (band),The Searchers (band),,3,3,8,0.179558,0.186082,44439.223046,0.000936,0.000936,10,0.000043,0,0,0,0.025168
Larry Parnes,Larry Parnes,,4,6,9,0.15605,0.160395,19416,0.000159,0.000159,19,0.000062,0,0.5,3,0.010502
Roy Young (musician),Roy Young (musician),,4,6,8,0.175386,0.181576,38831,0.001083,0.001083,18,0.000068,0,0.166667,1,0.026278
The Roy Young Band,The Roy Young Band,,1,1,9,0.149217,0.152847,0,0.000076,0.000076,18,0.000022,0,0,0,0.002626
Jimmie Nicol,Jimmie Nicol,,7,9,8,0.176137,0.182608,84205.680573,0.00111,0.00111,19,0.00011,0,0,0,0.029917
Oscar Rabin,Oscar Rabin,,2,2,9,0.157392,0.16239,4018.549503,0.000958,0.000958,26,0.000032,0,0,0,0.007922
The Spotnicks,The Spotnicks,,1,1,9,0.14976,0.153519,0,0.000078,0.000078,19,0.000021,0,0,0,0.003175
Grapefruit (band),Grapefruit (band),,4,7,8,0.189801,0.196934,88348.646821,0.001685,0.001685,27,0.000053,0,0.166667,1,0.050673
Tony Rivers and the Castaways,Tony Rivers and the Castaways,,1,1,9,0.159524,0.16352,0,0.000118,0.000118,27,0.000019,0,0,0,0.004191
The Easybeats,The Easybeats,,11,23,8,0.182111,0.188898,152840.249457,0.001125,0.001125,27,0.000132,0,0.218182,12,0.053002
Al Coury,Al Coury,,7,14,8,0.202376,0.213475,362294.462422,0.012284,0.012284,15,0.000071,0,0.047619,1,0.136614
Pink Floyd,Pink Floyd,,41,82,8,0.206954,0.218613,1136354.193506,0.007869,0.007869,15,0.00047,0,0.021951,18,0.210453
The Beach Boys,The Beach Boys,,48,100,7,0.215507,0.229364,1886062.245058,0.028606,0.028605,1,0.000504,0,0.027482,31,0.370665
Nat King Cole,Nat King Cole,,21,39,8,0.193429,0.206156,701968.756113,0.086007,0.086008,26,0.000203,0,0.085714,18,0.308963
Glen Campbell,Glen Campbell,,24,47,8,0.204422,0.21586,915233.364667,0.008754,0.008754,1,0.000271,0,0.018116,5,0.161698
Bob Seger,Bob Seger,,22,42,8,0.208677,0.218946,396866.164793,0.008722,0.008722,18,0.000235,0,0.025974,6,0.170396
Manfred Mann,Manfred Mann,,4,4,9,0.172814,0.179542,8420.043688,0.001148,0.001148,18,0.000045,0,0,0,0.026322
John Entwistle,John Entwistle,,19,34,8,0.203322,0.214048,424613.665112,0.006182,0.006182,18,0.000213,0,0.052632,9,0.169908
Pete Townshend,Pete Townshend,,11,22,9,0.194495,0.203556,108968.013137,0.003568,0.003568,18,0.000115,0,0.163636,9,0.103609
Mountain (band),Mountain (band),,12,20,9,0.178501,0.185712,142090.875227,0.000818,0.000818,18,0.000163,0,0.045455,3,0.03624
Susanna Hoffs,Susanna Hoffs,,2,2,9,0.172445,0.178424,8563.087677,0.000471,0.000471,24,0.000031,0,0,0,0.015394
Tony Ashton,Tony Ashton,,1,1,9,0.168968,0.174639,0,0.000432,0.000432,18,0.000017,0,0,0,0.012666
The Best (band),The Best (band),,2,2,8,0.172803,0.178832,3997.774629,0.000637,0.000637,6,0.000028,0,0,0,0.016608
Roger Daltrey,Roger Daltrey,,30,60,8,0.206956,0.218058,606884.220798,0.007934,0.007934,18,0.000305,0,0.043678,19,0.217465
Téléphone,Téléphone,,1,1,9,0.168968,0.174639,0,0.000432,0.000432,18,0.000017,0,0,0,0.012666
Steve Luongo,Steve Luongo,,6,9,8,0.192887,0.200635,46982.428867,0.002229,0.002229,1,0.000066,0,0.066667,1,0.0552
Zak Starkey,Zak Starkey,,11,16,8,0.197363,0.206297,221091.333977,0.003185,0.003185,18,0.000135,0,0.018182,1,0.094503
Peter Grant (music manager),Peter Grant (music manager),,9,16,9,0.188535,0.197191,72662.224013,0.002456,0.002456,10,0.000094,0,0.083333,3,0.070555
Lionize,Lionize,,7,10,9,0.18558,0.194176,122349.682531,0.001719,0.001719,10,0.000101,0,0.047619,1,0.059058
The Sore Losers,The Sore Losers,,4,7,9,0.183965,0.191409,65477.801808,0.00128,0.00128,10,0.000048,0,0.166667,1,0.040418
Them Crooked Vultures,Them Crooked Vultures,,11,23,9,0.199521,0.209516,193045.77125,0.005624,0.005624,3,0.000105,0,0.254545,14,0.180493
Nicky James,Nicky James,,4,5,9,0.174505,0.180789,20865.082861,0.000619,0.000619,10,0.000051,0,0,0,0.021101
Stuart Epps,Stuart Epps,,12,18,8,0.199247,0.208866,245723.017727,0.00339,0.00339,10,0.000128,0,0.015152,1,0.098027
